model,brand,line,capacity_tb,rpm,cache_mb,interface,form_factor,rec_tech,class,in_production,confidence,notes,acoustic_idle_db,acoustic_seek_db,helium,media_type,nand_type,tbw_tb,dwpd,has_dram,has_plp,sustained_write_mbps
WD20EFPX,WD,Red Plus,2,5400,128,SATA,3.5,CMR,NAS,yes,high,,24,28,0
WD30EFZX,WD,Red Plus,3,5400,128,SATA,3.5,CMR,NAS,yes,medium,older EFZX naming,24,28,0
WD40EFPX,WD,Red Plus,4,5400,256,SATA,3.5,CMR,NAS,yes,high,,24,28,0
WD60EFPX,WD,Red Plus,6,5400,256,SATA,3.5,CMR,NAS,yes,high,,24,28,0
WD80EFPX,WD,Red Plus,8,5640,256,SATA,3.5,CMR,NAS,yes,high,,24,28,0
WD80EFZZ,WD,Red Plus,8,5640,256,SATA,3.5,CMR,NAS,yes,medium,alt 8TB SKU,24,28,0
WD101EFBX,WD,Red Plus,10,7200,256,SATA,3.5,CMR,NAS,yes,high,,24,28,1
WD120EFBX,WD,Red Plus,12,7200,256,SATA,3.5,CMR,NAS,yes,high,,24,28,1
WD140EFGX,WD,Red Plus,14,7200,512,SATA,3.5,CMR,NAS,yes,high,,24,28,1
WD2002FFSX,WD,Red Pro,2,7200,64,SATA,3.5,CMR,NAS-Pro,yes,high,,20,36,0
WD4005FFBX,WD,Red Pro,4,7200,256,SATA,3.5,CMR,NAS-Pro,yes,medium,,20,36,0
WD6005FFBX,WD,Red Pro,6,7200,256,SATA,3.5,CMR,NAS-Pro,yes,medium,,20,36,0
WD8005FFBX,WD,Red Pro,8,7200,256,SATA,3.5,CMR,NAS-Pro,yes,medium,,20,36,0
WD102KFBX,WD,Red Pro,10,7200,256,SATA,3.5,CMR,NAS-Pro,yes,high,,20,36,1
WD121KFBX,WD,Red Pro,12,7200,256,SATA,3.5,CMR,NAS-Pro,yes,high,,20,36,1
WD142KFGX,WD,Red Pro,14,7200,512,SATA,3.5,CMR,NAS-Pro,yes,high,,20,36,1
WD161KFGX,WD,Red Pro,16,7200,512,SATA,3.5,CMR,NAS-Pro,yes,high,,20,36,1
WD181KFGX,WD,Red Pro,18,7200,512,SATA,3.5,CMR,NAS-Pro,yes,high,,20,36,1
WD201KFGX,WD,Red Pro,20,7200,512,SATA,3.5,CMR,NAS-Pro,yes,high,,20,36,1
WD221KFGX,WD,Red Pro,22,7200,512,SATA,3.5,CMR,NAS-Pro,yes,high,,20,36,1
WD241KFGX,WD,Red Pro,24,7200,512,SATA,3.5,CMR,NAS-Pro,yes,high,24TB Red Pro; WD241KFGX supersedes WD240KFGX (identical CMR spec),25,32,1
WD1005FBYZ,WD,Gold,1,7200,128,SATA,3.5,CMR,Enterprise,yes,medium,,20,32,0
WD2005FBYZ,WD,Gold,2,7200,128,SATA,3.5,CMR,Enterprise,yes,medium,,20,32,0
WD4004FRYZ,WD,Gold,4,7200,256,SATA,3.5,CMR,Enterprise,yes,medium,,20,32,0
WD6004FRYZ,WD,Gold,6,7200,256,SATA,3.5,CMR,Enterprise,yes,medium,,20,32,0
WD8004FRYZ,WD,Gold,8,7200,256,SATA,3.5,CMR,Enterprise,yes,medium,,20,32,0
WD102KRYZ,WD,Gold,10,7200,256,SATA,3.5,CMR,Enterprise,yes,high,,20,32,1
WD121KRYZ,WD,Gold,12,7200,256,SATA,3.5,CMR,Enterprise,yes,high,,20,32,1
WD142KRYZ,WD,Gold,14,7200,512,SATA,3.5,CMR,Enterprise,yes,high,,20,32,1
WD161KRYZ,WD,Gold,16,7200,512,SATA,3.5,CMR,Enterprise,yes,high,,20,32,1
WD181KRYZ,WD,Gold,18,7200,512,SATA,3.5,CMR,Enterprise,yes,high,,20,32,1
WD202KRYZ,WD,Gold,20,7200,512,SATA,3.5,CMR,Enterprise,yes,medium,,20,32,1
WD221KRYZ,WD,Gold,22,7200,512,SATA,3.5,CMR,Enterprise,yes,medium,,20,32,1
WD241KRYZ,WD,Gold,24,7200,512,SATA,3.5,CMR,Enterprise,no,medium,discontinued; superseded by WD242KRYZ revision,20,32,1
